year,title,description
3300 BCE,Indus Valley Civilization Begins,One of the world's earliest urban civilizations emerges in the Indus River basin with advanced city planning and trade.
2600 BCE,Mature Harappan Phase,Major cities like Harappa and Mohenjo-daro flourish with drainage systems standardized weights and long-distance trade.
1900 BCE,Decline of Indus Civilization,Urban centers begin to decline due to environmental and economic changes leading to population dispersal.
1500 BCE,Vedic Age Begins,Indo-Aryan communities settle in northwestern India and compose the earliest Vedic hymns.
1000 BCE,Later Vedic Period,Expansion into the Gangetic plains leads to larger kingdoms agriculture and social transformations.
600 BCE,Mahajanapadas Rise,Sixteen major states emerge across northern India laying the foundation for future empires.
563 BCE,Birth of Gautama Buddha,Siddhartha Gautama is born and later becomes the founder of Buddhism.
599 BCE,Birth of Mahavira,Mahavira the 24th Tirthankara is born and becomes a central figure in Jainism.
545 BCE,Rise of Magadha,Magadha emerges as the most powerful Mahajanapada under rulers like Bimbisara.
527 BCE,Nirvana of Mahavira,Mahavira attains liberation and Jainism continues to spread across India.
483 BCE,Mahaparinirvana of Buddha,Gautama Buddha passes away at Kushinagar leaving behind a major religious tradition.
327 BCE,Alexander Invades India,Alexander the Great crosses the Indus River and enters northwestern India.
322 BCE,Mauryan Empire Founded,Chandragupta Maurya defeats the Nanda dynasty and establishes the first major pan-Indian empire.
305 BCE,Treaty with Seleucus,Chandragupta signs a treaty with Seleucus Nicator expanding Mauryan influence westward.
297 BCE,Bindusara Becomes Emperor,Bindusara succeeds Chandragupta and expands Mauryan territories further south.
268 BCE,Ashoka Ascends Throne,Ashoka becomes ruler of the Mauryan Empire and later transforms Indian history.
261 BCE,Kalinga War,Ashoka conquers Kalinga in a devastating war that leads him to embrace Buddhism.
250 BCE,Ashoka's Buddhist Missions,Ashoka sends missionaries across Asia helping spread Buddhism internationally.
232 BCE,Death of Ashoka,The Mauryan Empire begins weakening after the death of its greatest ruler.
185 BCE,Shunga Dynasty Founded,Pushyamitra Shunga overthrows the last Mauryan ruler and establishes a new dynasty.
73 BCE,Kanva Dynasty Established,The Kanvas replace the Shungas and continue ruling parts of northern India.
30 BCE,Satavahana Expansion,The Satavahana dynasty becomes a major power in the Deccan region.
78 CE,Kushan Era Begins,The Kushan Empire rises in northwestern India promoting trade and cultural exchange.
127 CE,Reign of Kanishka,Kanishka strengthens the Kushan Empire and supports the spread of Buddhism.
320 CE,Gupta Empire Founded,Chandragupta I establishes the Gupta Empire beginning India's Golden Age.
335 CE,Samudragupta's Expansion,Samudragupta conducts extensive military campaigns and expands Gupta influence.
405 CE,Faxian Visits India,The Chinese monk Faxian travels through India documenting society and Buddhism.
499 CE,Aryabhata Publishes Aryabhatiya,Aryabhata makes groundbreaking contributions to mathematics and astronomy.
550 CE,Decline of Gupta Empire,Huna invasions and regional fragmentation weaken the Gupta Empire.
606 CE,Harsha Becomes Emperor,Harshavardhana unifies much of northern India and promotes culture and religion.
630 CE,Xuanzang Visits India,The Chinese scholar Xuanzang travels across India documenting its politics and education.
647 CE,Death of Harsha,The death of Harsha marks the end of the last major empire of ancient India.
712 CE,Arab Conquest of Sindh,Muhammad bin Qasim conquers Sindh introducing Islamic political influence into the subcontinent.
1206 CE,Delhi Sultanate Established,Qutb-ud-din Aibak founds the Delhi Sultanate beginning centuries of Sultanate rule.
1336 CE,Vijayanagara Empire Founded,The Vijayanagara Empire emerges as a major Hindu kingdom in South India.
1526 CE,First Battle of Panipat,Babur defeats Ibrahim Lodi and establishes the Mughal Empire.
1556 CE,Akbar Becomes Emperor,Akbar begins one of the most influential reigns in Indian history.
1658 CE,Aurangzeb's Reign Begins,Aurangzeb expands the Mughal Empire to its greatest territorial extent.
1674 CE,Shivaji Crowned King,Shivaji establishes the Maratha Kingdom and challenges Mughal dominance.
1757 CE,Battle of Plassey,British East India Company gains decisive control in Bengal.
1857 CE,First War of Independence,Indian soldiers and civilians revolt against British rule across northern India.
1885 CE,Indian National Congress Founded,A political platform emerges that later leads the independence movement.
1919 CE,Jallianwala Bagh Massacre,British troops fire on unarmed civilians in Amritsar shocking the nation.
1930 CE,Dandi March,Mahatma Gandhi leads the Salt March challenging British colonial laws.
1942 CE,Quit India Movement,Mass protests demand an immediate end to British rule.
1947 CE,Indian Independence,India gains freedom from British rule and becomes an independent nation.
1950 CE,Republic of India Established,The Constitution of India comes into effect creating the world's largest democracy.
