id,empire_id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,difficulty
1,7,Who founded the Mauryan Empire?,Ashoka,Bindusara,Chandragupta Maurya,Harsha,C,Chandragupta Maurya founded the Mauryan Empire in 322 BCE.,Easy
2,7,Who was the mentor of Chandragupta Maurya?,Megasthenes,Chanakya,Faxian,Aryabhata,B,Chanakya also known as Kautilya guided Chandragupta Maurya.,Easy
3,7,What was the capital of the Mauryan Empire?,Taxila,Pataliputra,Ujjain,Kannauj,B,Pataliputra was the capital of the Mauryan Empire.,Easy
4,7,Which Mauryan ruler embraced Buddhism after the Kalinga War?,Bindusara,Ashoka,Chandragupta,Dasharatha,B,Ashoka embraced Buddhism after witnessing the horrors of war.,Easy
5,7,In which year did the Kalinga War take place?,322 BCE,305 BCE,261 BCE,232 BCE,C,The Kalinga War was fought around 261 BCE.,Easy
6,7,Who wrote Arthashastra?,Ashoka,Chanakya,Panini,Kalidasa,B,Chanakya authored the Arthashastra on statecraft and economics.,Easy
7,8,Who founded the Gupta Empire?,Samudragupta,Chandragupta I,Skandagupta,Kumaragupta,B,Chandragupta I founded the Gupta Empire in 320 CE.,Easy
8,8,Who is known as the Napoleon of India?,Chandragupta I,Skandagupta,Samudragupta,Harsha,C,V.A. Smith called Samudragupta the Napoleon of India.,Easy
9,8,Which period is called the Golden Age of India?,Mauryan Period,Gupta Period,Mughal Period,Harsha Period,B,The Gupta era witnessed major advances in science and culture.,Easy
10,8,Who wrote Aryabhatiya?,Varahamihira,Aryabhata,Kalidasa,Brahmagupta,B,Aryabhata authored Aryabhatiya.,Easy
11,8,Which Gupta ruler defeated the Hunas?,Samudragupta,Chandragupta I,Skandagupta,Kumaragupta,C,Skandagupta successfully resisted Huna invasions.,Medium
12,8,Which famous poet flourished during the Gupta Age?,Kalidasa,Tulsidas,Banabhatta,Valmiki,A,Kalidasa was one of the greatest Sanskrit poets.,Easy
13,9,Who was the founder of Buddhism?,Mahavira,Gautama Buddha,Ashoka,Nagarjuna,B,Gautama Buddha founded Buddhism.,Easy
14,9,Where did Buddha attain enlightenment?,Sarnath,Bodh Gaya,Kushinagar,Lumbini,B,Buddha attained enlightenment under the Bodhi Tree at Bodh Gaya.,Easy
15,9,What was Buddha's original name?,Siddhartha Gautama,Rahula,Ananda,Devadatta,A,Siddhartha Gautama later became Buddha.,Easy
16,9,Where did Buddha deliver his first sermon?,Lumbini,Sarnath,Kushinagar,Rajgir,B,The first sermon was delivered at Sarnath.,Easy
17,9,What does Mahaparinirvana refer to?,Birth of Buddha,Enlightenment of Buddha,Death of Buddha,First Sermon,C,Mahaparinirvana refers to Buddha's final passing away.,Easy
18,10,Who was the founder of Jainism's 24th Tirthankara tradition?,Rishabhanatha,Parshvanatha,Mahavira,Gautama Buddha,C,Mahavira was the 24th Tirthankara.,Easy
19,10,What was Mahavira's birth name?,Vardhamana,Siddhartha,Ananda,Rahula,A,Mahavira's original name was Vardhamana.,Easy
20,10,How many vows are central to Jainism?,2,3,5,8,C,Jainism emphasizes five major vows.,Medium
21,1,Which civilization is known for Mohenjo-daro and Harappa?,Vedic Civilization,Indus Valley Civilization,Mauryan Civilization,Gupta Civilization,B,Harappa and Mohenjo-daro were major Indus Valley cities.,Easy
22,1,Which river was central to the Indus Valley Civilization?,Ganga,Yamuna,Indus,Narmada,C,The civilization developed along the Indus River system.,Easy
23,1,What is a notable feature of Indus cities?,Airports,Drainage System,Palaces only,Castles,B,Indus cities had advanced drainage systems.,Easy
24,1,Which animal appears frequently on Indus seals?,Horse,Tiger,Unicorn-like figure,Lion,C,The unicorn motif is common on Indus seals.,Medium
25,2,Which texts belong to the Vedic period?,Tripitaka,Vedas,Arthashastra,Ramcharitmanas,B,The Vedas are the primary texts of the Vedic Age.,Easy
26,2,Which Veda is the oldest?,Rigveda,Yajurveda,Samaveda,Atharvaveda,A,Rigveda is the oldest Veda.,Easy
27,2,What was the primary occupation in the Later Vedic Period?,Trade,Agriculture,Mining,Fishing,B,Agriculture became increasingly important.,Easy
28,3,How many Mahajanapadas existed in ancient India?,8,12,16,24,C,There were sixteen Mahajanapadas.,Easy
29,3,Which Mahajanapada became most powerful?,Kosala,Avanti,Magadha,Vatsa,C,Magadha eventually dominated others.,Easy
30,11,Who invaded India in 326 BCE?,Seleucus,Alexander,Persians,Babur,B,Alexander invaded northwestern India in 326 BCE.,Easy
31,11,Which king opposed Alexander at Hydaspes?,Ashoka,Porus,Chandragupta,Harsha,B,Porus fought Alexander bravely.,Easy
32,12,Who visited India during the Gupta Period?,Megasthenes,Faxian,Al-Biruni,Ibn Battuta,B,Faxian visited India during Gupta rule.,Easy
33,12,Who wrote Indica?,Megasthenes,Faxian,Xuanzang,Kalidasa,A,Megasthenes wrote Indica about India.,Medium
34,13,Who founded the Harsha Empire?,Harsha,Rajyavardhana,Prabhakaravardhana,Banabhatta,A,Harsha became ruler in 606 CE.,Easy
35,13,Who wrote Harshacharita?,Kalidasa,Banabhatta,Panini,Aryabhata,B,Banabhatta authored Harshacharita.,Medium
36,14,Who developed the concept that Earth rotates on its axis?,Aryabhata,Varahamihira,Brahmagupta,Chanakya,A,Aryabhata proposed Earth's rotation.,Medium
37,14,Which field is Aryabhata most associated with?,Medicine,Mathematics and Astronomy,Politics,Architecture,B,Aryabhata excelled in mathematics and astronomy.,Easy
38,15,Who authored Ashtadhyayi?,Kalidasa,Panini,Patanjali,Varahamihira,B,Panini wrote Ashtadhyayi on Sanskrit grammar.,Medium
39,15,What is Panini famous for?,Astronomy,Grammar,Medicine,Economics,B,Panini is known as the father of Sanskrit grammar.,Easy
40,16,Which battle transformed Ashoka's life?,Battle of Plassey,Kalinga War,Panipat,Hydaspes,B,The Kalinga War changed Ashoka profoundly.,Easy
41,16,Who won the Kalinga War?,Kalinga,Ashoka,Seleucus,Porus,B,Ashoka emerged victorious.,Easy
42,17,Which battle established Mughal rule in India?,Battle of Plassey,First Battle of Panipat,Battle of Talikota,Battle of Buxar,B,The First Battle of Panipat in 1526 established Mughal rule.,Easy
43,17,Who defeated Ibrahim Lodi?,Akbar,Babur,Humayun,Sher Shah Suri,B,Babur defeated Ibrahim Lodi.,Easy
