id,empire_id,section,title,content
1,1,overview,Indus Valley Civilization Overview,The Indus Valley Civilization was one of the world's earliest urban civilizations flourishing between 3300 BCE and 1300 BCE mainly in present-day Pakistan and northwestern India.
2,1,cities,Major Cities,Important cities included Harappa Mohenjo-Daro Dholavira Lothal Kalibangan and Rakhigarhi.
3,1,economy,Economy,Agriculture trade pottery metallurgy and craft production formed the backbone of the economy.
4,1,society,Society,The society appears to have been highly organized with planned cities drainage systems and standardized weights.
5,1,decline,Decline,Possible reasons include climate change river shifts environmental degradation and economic decline.
6,1,legacy,Legacy,The civilization demonstrated advanced urban planning sanitation and trade networks.

7,2,overview,Early Vedic Period Overview,The Early Vedic Period began around 1500 BCE with the arrival of Indo-Aryan groups into northwestern India.
8,2,society,Tribal Society,Society was organized into tribes led by chiefs known as Rajans.
9,2,religion,Vedic Religion,Nature worship was prominent with gods such as Indra Agni Varuna and Soma.
10,2,economy,Economy,Cattle wealth was the main measure of prosperity.
11,2,legacy,Legacy,The foundations of later Indian culture language and religion emerged during this period.

12,3,overview,Later Vedic Period Overview,The Later Vedic Period saw expansion into the Gangetic plains and growth of kingdoms.
13,3,society,Social Structure,The Varna system became more structured and social complexity increased.
14,3,politics,Political Development,Small tribal groups evolved into larger kingdoms.
15,3,economy,Economic Growth,Agriculture expanded through iron tools and settled farming.

16,4,overview,Mahajanapadas Overview,The Mahajanapadas were sixteen major states that dominated northern India during the sixth century BCE.
17,4,politics,Political Structure,Some states were monarchies while others functioned as republics.
18,4,importance,Historical Importance,The Mahajanapadas created the conditions for the rise of Magadha.

19,7,overview,Mauryan Empire Overview,The Mauryan Empire founded by Chandragupta Maurya was the first major empire to unify much of the Indian subcontinent.
20,7,administration,Administration,The empire had a highly centralized administration with provinces governors and officials.
21,7,economy,Economy,Agriculture trade taxation and state control contributed to prosperity.
22,7,military,Military,The Mauryan military was one of the largest standing armies of the ancient world.
23,7,religion,Religion,Ashoka promoted Buddhism after the Kalinga War while supporting religious tolerance.
24,7,society,Society,Urban centers expanded and trade routes flourished.
25,7,decline,Decline,Weak successors economic pressures and regional rebellions weakened the empire.
26,7,legacy,Legacy,The Mauryan Empire established traditions of governance that influenced later kingdoms.

27,12,overview,Gupta Empire Overview,The Gupta Empire is often called the Golden Age of India because of advances in science mathematics literature and art.
28,12,administration,Administration,The Gupta rulers governed through a combination of direct control and local autonomy.
29,12,culture,Culture,Sanskrit literature science mathematics and temple architecture flourished.
30,12,science,Scientific Achievements,Aryabhata made important contributions to astronomy and mathematics.
31,12,economy,Economy,Trade agriculture and crafts supported prosperity.
32,12,legacy,Legacy,The Gupta Age left a lasting impact on Indian civilization.

33,14,overview,Harsha Empire Overview,Harsha unified much of northern India during the seventh century CE.
34,14,administration,Administration,Harsha maintained an efficient administration and encouraged education.
35,14,religion,Religion,He supported Buddhism while respecting other faiths.
36,14,legacy,Legacy,Harsha's reign marked the last major political unity of ancient northern India before the early medieval period.
